,k,destRegion,originRegion,migrations,originPop,destPop
339,1.13E-08,CentralAmerica,BalkanPeninsula,27.2,29503649,160556595
340,2.10E-07,CentralAmerica,SpanishSouthAmerica,2582.5,198483935,160556595
341,1.07E-07,CentralAmerica,Canada,289.5,34168668,160556595
342,9.13E-07,CentralAmerica,USA,16432,308711621,160556595
343,1.74E-09,CentralAmerica,IndianSubcontinent,129.4,1602003617,160556595
344,0,CentralAmerica,ArabicWestAfrica,0.6,3609543,160556595
345,8.26E-09,CentralAmerica,ChineseAsia,543.3,1393132348,160556595
346,1.73E-09,CentralAmerica,SoutheastAsia,55.6,597327771,160556595
347,1.01E-08,CentralAmerica,AustrailiaNewZealand,22.4,26490126,160556595
348,3.25E-08,CentralAmerica,BritishIsles,159.7,68013843,160556595
349,2.33E-08,CentralAmerica,NordicCountries,60.8,32140303,160556595
350,4.12E-10,CentralAmerica,MiddleAfrica,3.3,107982268,160556595
351,2.62E-07,CentralAmerica,Caribbean,842,41724731,160556595
352,1.85E-09,CentralAmerica,PersianMiddleEast,13.4,103370678,160556595
353,2.19E-10,CentralAmerica,EastAfrica,4.7,313782635,160556595
354,4.50E-10,CentralAmerica,FrenchWestAfrica,8.7,304171621,160556595
355,1.21E-08,CentralAmerica,Brazil,148.7,196796269,160556595
356,2.12E-06,CentralAmerica,CentralAmerica,21731.9,160556595,160556595
357,1.78E-08,CentralAmerica,Japan,151.8,128551873,160556595
358,6.10E-08,CentralAmerica,FrenchEurope,323.3,74473368,160556595
359,0,CentralAmerica,Melanesia,0.3,8983311,160556595
360,1.91E-08,CentralAmerica,Portugal,19.1,10652321,160556595
361,0,ChineseAsia,BritishIsles,0,68013843,1393132348
362,0,ChineseAsia,Madagascar,0,21151640,1393132348
363,0,ChineseAsia,FrenchWestAfrica,0,304171621,1393132348
364,0,ChineseAsia,Spain,0,46788630,1393132348
365,7.19E-09,ChineseAsia,SoutheastAsia,497.9,597327771,1393132348
366,1.01E-09,ChineseAsia,RussianAsia,9.6,55514817,1393132348
367,0,ChineseAsia,Melanesia,0,8983311,1393132348
368,0,ChineseAsia,MiddleAfrica,0,107982268,1393132348
369,0,ChineseAsia,CentralAmerica,0,160556595,1393132348
370,7.64E-08,ChineseAsia,ChineseAsia,10932.9,1393132348,1393132348
371,0,ChineseAsia,Somalia,0,12053223,1393132348
372,2.23E-09,ChineseAsia,EasternEurope,84,294540681,1393132348
373,0,ChineseAsia,Brazil,0,196796269,1393132348
374,0,ChineseAsia,TurkishMiddleEast,0,103089615,1393132348
375,0,ChineseAsia,Caribbean,0,41724731,1393132348
376,0,ChineseAsia,BalkanPeninsula,0,29503649,1393132348
377,0,ChineseAsia,Japan,0,128551873,1393132348
378,0,ChineseAsia,ItalianEurope,0,66998485,1393132348
